KathmanduK;Dx,122,443,0
Tanahu,0,0,0
Udayapur,1,1,0
Achham,0,0,0
Arghakhanchi,0,0,0
Baglung,0,0,0
Baitadi,0,0,0
Bajhang,0,0,0
Bajura,0,0,0
Banke,0,0,0
Bara,0,0,0
Bardiya,0,0,0
Bhaktapur,0,0,0
Bhojpur,0,0,0
Chitwan,0,0,0
Dadeldhura,0,0,0
Dailekh,0,0,0
Dang,0,0,0
Darchula,0,0,0
Dhading,0,0,0
Dhankuta,0,0,0
Dhanusa,0,0,0
Dolakha,0,0,0
Dolpa,0,0,0
Doti,0,0,0
Eastern Rukum,0,0,0
Gorkha,0,0,0
Gulmi,0,0,0
Humla,0,0,0
Ilam,0,0,0
Jajarkot,0,0,0
Jhapa,0,0,0
Jumla,0,0,0
Kailali,0,0,0
Kalikot,0,0,0
Kanchanpur,0,0,0
Kapilvastu,0,0,0
Kaski,0,0,0
Kavrepalanchowk,0,0,0
Khotang,0,0,0
Lalitpur,0,0,0
Lamjung,0,0,0
Mahottari,0,0,0
Makwanpur,0,0,0
Manang,0,0,0
Morang,0,0,0
Mugu,0,0,0
Mustang,0,0,0
Myagdi,0,0,0
Nawalpur,0,0,0
Nuwakot,0,0,0
Okhaldhunga,0,0,0
Palpa,0,0,0
Panchthar,0,0,0
Parbat,0,0,0
Parsa,0,0,0
Pyuthan,0,0,0
Ramechhap,0,0,0
Rasuwa,0,0,0
Rautahat,0,0,0
Rolpa,0,0,0
Rupandehi,0,0,0
Salyan,0,0,0
Sankhuwasabha,0,0,0
Saptari,0,0,0
Sarlahi,0,0,0
Sindhuli,0,0,0
Sindhupalchok,0,0,0
Siraha,0,0,0
Solukhumbu,0,0,0
Sunsari,0,0,0
Surkhet,0,0,0
Syangja,0,0,0
Taplejung,0,0,0
Tehrathum,0,0,0
Western Rukum,0,0,0
0,0,0,0
